Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,163,8,Some Random Commen with Id 0
1,0,2,195,7,Some Random Commen with Id 1
2,1,0,9,8,Some Random Commen with Id 2
3,1,0,96,2,Some Random Commen with Id 3
4,1,0,138,6,Some Random Commen with Id 4
5,1,0,83,6,Some Random Commen with Id 5
6,1,0,61,1,Some Random Commen with Id 6
7,2,7,99,6,Some Random Commen with Id 7
8,2,7,165,8,Some Random Commen with Id 8
9,2,7,8,7,Some Random Commen with Id 9
10,2,7,77,0,Some Random Commen with Id 10
11,2,7,91,0,Some Random Commen with Id 11
12,4,5,154,7,Some Random Commen with Id 12
13,5,5,4,9,Some Random Commen with Id 13
14,5,5,196,9,Some Random Commen with Id 14
15,5,5,22,5,Some Random Commen with Id 15
16,6,0,149,5,Some Random Commen with Id 16
17,6,0,71,6,Some Random Commen with Id 17
18,6,0,199,1,Some Random Commen with Id 18
19,6,0,20,8,Some Random Commen with Id 19
20,6,0,153,4,Some Random Commen with Id 20
21,7,6,8,4,Some Random Commen with Id 21
22,7,6,5,3,Some Random Commen with Id 22
23,7,6,52,9,Some Random Commen with Id 23
24,7,6,182,4,Some Random Commen with Id 24
25,10,9,198,0,Some Random Commen with Id 25
26,10,9,48,5,Some Random Commen with Id 26
27,10,9,103,0,Some Random Commen with Id 27
28,10,9,165,4,Some Random Commen with Id 28
29,11,7,86,2,Some Random Commen with Id 29
30,11,7,122,8,Some Random Commen with Id 30
31,11,7,196,6,Some Random Commen with Id 31
32,13,1,62,1,Some Random Commen with Id 32
33,13,1,100,0,Some Random Commen with Id 33
34,13,1,15,0,Some Random Commen with Id 34
35,13,1,147,7,Some Random Commen with Id 35
36,13,1,97,0,Some Random Commen with Id 36
37,14,7,157,7,Some Random Commen with Id 37
38,14,7,53,9,Some Random Commen with Id 38
39,14,7,13,3,Some Random Commen with Id 39
40,14,7,71,9,Some Random Commen with Id 40
41,14,7,155,7,Some Random Commen with Id 41
42,14,7,49,6,Some Random Commen with Id 42
43,14,7,147,0,Some Random Commen with Id 43
44,15,1,109,8,Some Random Commen with Id 44
45,15,1,50,0,Some Random Commen with Id 45
46,15,1,138,9,Some Random Commen with Id 46
47,16,7,176,0,Some Random Commen with Id 47
48,16,7,156,2,Some Random Commen with Id 48
49,16,7,128,1,Some Random Commen with Id 49
50,16,7,144,9,Some Random Commen with Id 50
51,16,7,149,6,Some Random Commen with Id 51
52,16,7,150,3,Some Random Commen with Id 52
53,16,7,111,7,Some Random Commen with Id 53
54,16,7,79,8,Some Random Commen with Id 54
55,16,7,101,3,Some Random Commen with Id 55
56,17,3,41,6,Some Random Commen with Id 56
57,17,3,16,4,Some Random Commen with Id 57
58,17,3,22,4,Some Random Commen with Id 58
59,17,3,88,5,Some Random Commen with Id 59
60,17,3,44,9,Some Random Commen with Id 60
61,17,3,126,7,Some Random Commen with Id 61
62,17,3,4,3,Some Random Commen with Id 62
63,17,3,46,7,Some Random Commen with Id 63
64,17,3,7,0,Some Random Commen with Id 64
65,18,6,32,5,Some Random Commen with Id 65
66,18,6,186,3,Some Random Commen with Id 66
67,18,6,90,4,Some Random Commen with Id 67
68,18,6,113,5,Some Random Commen with Id 68
69,18,6,196,1,Some Random Commen with Id 69
70,19,5,122,7,Some Random Commen with Id 70
71,19,5,80,2,Some Random Commen with Id 71
72,19,5,85,8,Some Random Commen with Id 72
73,19,5,1,6,Some Random Commen with Id 73
74,19,5,114,6,Some Random Commen with Id 74
75,19,5,198,2,Some Random Commen with Id 75
76,20,3,188,8,Some Random Commen with Id 76
